"Qualite" "Type" "AcidVol" "AcidCitr" "SO2lbr" "SO2tot" "Densite" "Alcool"
"4516" "medium" 0 0.44 0.26 57 128 0.98982 12.7
"1118" "medium" 1 0.69 0.07 15 21 0.99572 11.3
"2680" "good" 0 0.15 0.33 31 118 0.9956 9
"452" "medium" 1 0.37 0.53 9 26 0.9979 9.1
"3937" "bad" 0 0.28 0.35 61 180 0.9972 9
"776" "medium" 1 1 0 7 16 0.99586 10
"528" "medium" 1 0.38 0.49 33 85 0.9962 11.4
"3445" "medium" 0 0.44 0.2 44 157 0.998 9
"203" "medium" 1 0.5 0.11 16 49 0.99545 9.5
"1175" "medium" 1 0.36 0.31 26 65 0.99716 9.5
"5796" "medium" 0 0.22 0.29 25 68 0.98865 12.6
"2334" "medium" 0 0.38 0.25 28 191 0.9971 9.2
"3564" "medium" 0 0.31 0.42 50 173 0.9958 9
"1921" "medium" 0 0.24 0.35 36 135 0.9938 10.5
"4995" "medium" 0 0.26 0.46 48 186 0.9958 9.1
"1070" "medium" 1 0.62 0.35 28 52 0.997 10.8
"5286" "medium" 0 0.3 0.37 27 177 0.99438 9.8
"4421" "medium" 0 0.4 0.46 42 241 0.9968 9.9
"5630" "medium" 0 0.19 0.38 30 105 0.99047 11.4
"273" "medium" 1 0.37 0.58 17 65 0.99935 10.1
"896" "medium" 1 0.59 0.01 27 43 0.9955 10.7
"5267" "good" 0 0.32 0.28 46 115 0.98946 13
"742" "medium" 1 0.53 0.24 28 139 0.99788 9.5
"956" "medium" 1 0.21 0.52 9 23 0.99648 10.4
"4435" "medium" 0 0.25 0.22 41 161 0.99256 10.5
"414" "good" 1 0.4 0.53 6 19 0.9986 11.7
"2737" "good" 0 0.31 0.37 70 170 0.9934 11.7
"1496" "medium" 1 0.43 0.02 15 28 0.99492 10.6
"455" "medium" 1 0.23 0.4 21 67 0.9952 11.1
"3970" "good" 0 0.1 0.24 25 107 0.99511 10.5
"286" "medium" 1 0.59 0.07 32 71 1.00015 9.8
"1535" "good" 1 0.56 0.14 13 29 0.99397 11.7
"3144" "medium" 0 0.13 0.49 6 24 0.9926 9.9
"5473" "medium" 0 0.37 0.51 58 181 0.99776 9
"6308" "medium" 0 0.33 0.28 26 109 0.99246 10.6
"5051" "good" 0 0.21 0.29 43 106 0.99112 11.5
"3502" "medium" 0 0.23 0.35 26 183 0.9984 9.1
"4286" "medium" 0 0.17 0.29 52 119 0.98944 12.9
"1408" "medium" 1 0.51 0 40 54 0.995 10.7
"2581" "good" 0 0.28 0.33 32 155 0.9951 10.7
"6225" "medium" 0 0.49 0.23 6 158 0.99344 11.2
"4614" "medium" 0 0.45 0.34 12 67 0.9976 11
"3065" "medium" 0 0.2 0.74 19 163 0.9931 10.2
"54" "medium" 1 0.38 0.36 30 119 0.997 9.4
"6300" "medium" 0 0.3 0.33 60 168 0.99659 9.8
"2050" "medium" 0 0.6 0.2 21 174 0.9971 9.1
"5574" "medium" 0 0.29 0.52 35 192 0.99551 9.5
"3368" "medium" 0 0.37 0.07 58 144 0.9922 10
"2332" "good" 0 0.28 0.45 14 49 0.9934 11.1
"4225" "medium" 0 0.19 0.21 89 159 0.99332 8
"5508" "good" 0 0.39 0.24 45 138 0.99174 11.2
"2830" "medium" 0 0.29 0.3 46 238 0.9986 8.7
"5669" "medium" 0 0.24 0.28 54 133 0.9952 10.7
"6141" "medium" 0 0.23 0.34 23 111 0.98961 12.7
"6395" "good" 0 0.105 0.29 44 140 0.99142 10.7
"5337" "medium" 0 0.21 0.72 65 120 0.99324 9.2
"878" "medium" 1 0.715 0.01 31 43 0.99371 11.8
"4190" "medium" 0 0.13 0.28 47 132 0.99655 10.1
"5778" "good" 0 0.19 0.33 49 133 0.99107 11.3
"3316" "medium" 0 0.21 0.31 29 108 0.9939 10.8
"5832" "medium" 0 0.39 0.28 10 92 0.99206 12.1
"5672" "good" 0 0.16 0.38 70.5 163 0.99706 10.4
"1786" "medium" 0 0.24 0.41 49 166 0.9954 9.9
"2654" "medium" 0 0.31 0.52 5 61 0.9918 10.4
"1199" "medium" 1 0.26 0.26 19 77 0.9951 10.9
"5997" "medium" 0 0.27 0.26 55 173 0.99699 9.8
"1347" "medium" 1 0.59 0.01 5 13 0.99472 11.4
"4785" "medium" 0 0.21 0.4 49 115 0.99268 11
"5400" "medium" 0 0.2 0.3 7 49 0.99242 10.3
"2157" "medium" 0 0.41 0.24 16 137 0.993 10.4
"3552" "good" 0 0.31 0.36 29 142 0.9925 13
"788" "medium" 1 0.56 0.24 19 58 0.9991 10.1
"2624" "medium" 0 0.34 0.74 23 185 0.9928 12
"1912" "medium" 0 0.25 0.41 37 149 0.9954 10
"499" "good" 1 0.35 0.53 5 16 0.9972 11
"2522" "medium" 0 0.32 0.62 56 153 0.9978 8.9
"6456" "medium" 0 0.23 0.39 26 172 0.99755 9
"4425" "medium" 0 0.25 0.22 41 161 0.99256 10.5
"618" "medium" 1 0.31 0.51 14 28 0.9982 9.8
"1139" "medium" 1 0.41 0.15 29 94 0.99786 9.1
"5815" "medium" 0 0.44 0.24 68 210 0.99718 9.5
"1191" "medium" 1 0.4 0.57 6 20 0.99652 12.5
"1348" "medium" 1 0.655 0.03 7 12 0.99587 9.5
"771" "medium" 1 0.59 0.02 24 94 0.99744 9.7
"5530" "medium" 0 0.28 0.26 25 101 0.98894 12.1
"858" "good" 1 0.26 0.34 16 47 0.99594 11.3
"4070" "medium" 0 0.25 0.34 34 176 0.99434 9.5
"5460" "medium" 0 0.25 0.26 52 207 0.99587 9.2
"4236" "medium" 0 0.24 0.27 40 174 0.99773 9
"5919" "good" 0 0.41 0.24 33 115 0.9901 12.89333333
"6340" "medium" 0 0.32 0.46 56 189 0.99308 9.6
"5170" "medium" 0 0.26 0.27 20 80 0.99089 11.5
"3266" "medium" 0 0.445 0.56 8 84 0.9938 10.8
"3696" "medium" 0 0.32 0.34 5 129 0.9953 9.1
"6310" "good" 0 0.33 0.31 27 108 0.99031 12.2
"6269" "medium" 0 0.44 0.33 12 117 0.99134 11.5
"3258" "medium" 0 0.31 0.49 52 220 0.9964 8.8
"6313" "medium" 0 0.28 0.28 19 98 0.99216 11.1
"362" "medium" 1 0.45 0.31 21 50 0.9982 9.9
"2374" "good" 0 0.27 0.45 28 124 0.997 10.4
"4507" "medium" 0 0.21 0.25 26 81 0.9902 11.4
"1575" "medium" 1 0.31 0.78 23 92 0.99677 10.5
"3468" "good" 0 0.21 0.27 41 144 0.9932 11.8
"5729" "good" 0 0.34 0.31 18 68 0.98981 13.4
"6469" "medium" 0 0.24 0.33 8 81 0.99626 9.8
"510" "good" 1 0.29 0.75 23 43 0.9986 11.4
"6107" "medium" 0 0.305 0.13 17 73 0.99 12.33333333
"1178" "good" 1 0.66 0 6 11 0.99318 12.7
"4973" "good" 0 0.28 0.24 49 121 0.98882 13.2
"4120" "medium" 0 0.41 0.23 28 174 0.99898 9.7
"5295" "medium" 0 0.15 0.4 61 146 0.99112 11
"2076" "good" 0 0.28 0.36 42 105 0.9893 12.4
"3989" "good" 0 0.46 0.26 28 83 0.99114 12
"4518" "medium" 0 0.28 0.28 15 65 0.9902 11.2
"3184" "medium" 0 0.25 0.74 52 209 0.9956 9.2
"1198" "medium" 1 0.57 0.21 4 9 0.99458 9.8
"1847" "good" 0 0.2 0.27 12 77 0.9905 10.9
"2285" "medium" 0 0.36 0.26 54 201 0.9976 9
"6022" "medium" 0 0.22 0.28 24 125 0.9917 10.5
"6087" "medium" 0 0.13 0.28 32 87 0.99175 11.2
"113" "medium" 1 0.6 0.1 14 111 0.9964 9.8
"5667" "medium" 0 0.38 0.28 22 166 0.99506 10.6
"3317" "medium" 0 0.27 0.32 19 142 0.9921 9.9
"933" "medium" 1 0.4 0.29 29 66 0.9971 9.5
"4658" "medium" 0 0.25 0.38 54 208 0.99572 9.1
"1923" "medium" 0 0.28 0.44 35 137 0.9946 10.4
"4026" "medium" 0 0.22 0.26 32 172 0.99194 11.2
"2244" "medium" 0 0.24 0.29 32 166 0.9968 9.5
"226" "medium" 1 0.43 0.25 29 63 0.99615 10.5
"1254" "medium" 1 0.66 0 6 13 0.99569 9.5
"747" "medium" 1 0.34 0.38 12 57 0.9978 9
"2809" "medium" 0 0.23 0.46 30 125 0.9907 12.5
"1137" "medium" 1 0.52 0.45 6 13 0.99774 11.4
"2067" "medium" 0 0.32 0.21 15 68 0.9932 9.4
"2455" "good" 0 0.2 0.35 30 116 0.9949 10.3
"6163" "good" 0 0.26 0.27 27 119 0.9947 10.7
"3977" "medium" 0 0.22 0.29 24 90 0.99556 9.8
"50" "medium" 1 0.31 0.37 12 96 0.9954 9.2
"3418" "medium" 0 0.26 0.29 27 96 0.9896 12.3
"5477" "medium" 0 0.28 0.31 20 98 0.99069 11.4
"2389" "medium" 0 0.3 0.27 31 119 0.99815 9.3
"6243" "medium" 0 0.21 0.35 47 197 0.99392 10.1
"65" "medium" 1 0.725 0.05 4 11 0.9962 10.9
"3678" "medium" 0 0.17 0.3 25 119 0.9931 10.5
"3117" "medium" 0 0.24 0.49 52 163 0.9952 10.6
"4327" "medium" 0 0.17 0.31 34 121 0.99092 10.5
"4206" "medium" 0 0.2 0.36 22 157 0.9938 10.6
"1169" "medium" 1 0.34 0.27 8 44 0.99384 12
"4188" "good" 0 0.18 0.3 19 171 0.99808 9
"5392" "medium" 0 0.25 0.3 53 133 0.99524 10.4
"1477" "medium" 1 0.5 0.5 48 82 1.00242 8.8
"3063" "medium" 0 0.19 0.49 11 137 0.9918 11
"6342" "medium" 0 0.27 0.32 36 133 0.99215 10.8
"4634" "medium" 0 0.25 0.47 36 156 0.99604 9.4
"3862" "medium" 0 0.25 0.31 11 61 0.99189 11.5
"1497" "medium" 1 0.54 0.26 23 147 0.99636 9.7
"193" "medium" 1 0.63 0.12 16 126 0.9969 9.5
"2273" "medium" 0 0.31 0.3 18 130 0.9928 10.6
"3074" "bad" 0 0.25 0.24 13 85 0.9942 9.5
"583" "medium" 1 0.49 0.49 5 15 1 9.2
"6169" "medium" 0 0.2 0.32 17 126 0.9936 9.4
"3865" "medium" 0 0.3 0.21 49 159 0.99827 9
"5812" "bad" 0 0.31 0.37 13 164 0.99602 8.8
"2658" "medium" 0 0.21 0.34 26 111 0.9931 10.7
"4152" "medium" 0 0.36 0.52 8 110 0.9966 9.4
"753" "medium" 1 0.54 0.13 24 66 0.99785 9.4
"4000" "bad" 0 0.19 0.42 16 104 0.99517 10
"5504" "good" 0 0.455 0.18 33 106 0.98746 14
"1861" "medium" 0 0.29 0.4 36 156 0.9996 8.9
"6068" "medium" 0 0.21 0.24 31 95 0.99036 11.3
"4950" "medium" 0 0.22 0.28 41 132 0.9935 11.3
"4654" "medium" 0 0.15 0.31 7 73 0.99152 11.9
"1511" "medium" 1 0.36 0.21 26 48 0.99661 9.7
"1001" "good" 1 0.43 0.3 6 12 0.99495 11.5
"2386" "medium" 0 0.34 0.28 31 117 0.99815 9.2
"1242" "medium" 1 0.37 0.39 28 65 0.99729 9.8
"2045" "bad" 0 0.32 0.32 16 66 0.9937 11.5
"2743" "medium" 0 0.24 0.3 27 131 0.9933 10.5
"1413" "medium" 1 0.24 0.34 8 22 0.9974 10.9
"2060" "medium" 0 0.21 0.27 26 111 0.9956 9.5
"5915" "good" 0 0.41 0.24 33 115 0.9901 12.89333333
"469" "medium" 1 0.36 0.69 6 21 1 9.2
"5454" "medium" 0 0.12 0.27 40 110 0.99226 12.1
"4119" "medium" 0 0.24 0.55 67 216 0.99596 9.2
"397" "medium" 1 0.735 0.02 68 124 0.9994 9.9
"1278" "medium" 1 0.69 0 3 10 0.99636 9.7
"2307" "medium" 0 0.18 0.45 57 166 0.9943 11.2
"1279" "medium" 1 0.715 0.22 13 81 0.99688 9.5
"4528" "good" 0 0.31 0.31 45 140 0.99216 12
"761" "medium" 1 0.58 0.25 9 104 0.99779 9.7
"3747" "medium" 0 0.29 0.2 20 142 0.9962 10.6
"199" "good" 1 0.835 0.08 13 93 0.9924 13
"802" "medium" 1 0.55 0.09 8 17 0.99735 10
"4150" "medium" 0 0.33 0.14 27 128 0.99475 9.4
"271" "medium" 1 0.545 0.06 27 61 0.9965 10.7
"5070" "good" 0 0.24 0.3 105 179 0.99189 11.3
"6303" "good" 0 0.12 0.28 36 83 0.99074 10.9
"146" "medium" 1 0.67 0.55 32 141 0.9968 9.4
"3768" "good" 0 0.19 0.3 48.5 229 0.9986 9.1
"4665" "medium" 0 0.15 0.38 54 120 0.9975 9.8
"2703" "medium" 0 0.29 0.39 6 117 0.9938 10.7
"5349" "medium" 0 0.28 0.29 40 143 0.99374 11
"1693" "good" 0 0.21 0.33 48 136 0.9899 12.6
"1640" "medium" 0 0.23 0.39 63 158 0.9937 9.4
"5547" "good" 0 0.3 0.32 41 142 0.98952 12.7
"354" "medium" 1 0.53 0.79 23 77 1.0018 13
"4161" "medium" 0 0.28 0.22 36 131 0.99696 9.6
"3230" "medium" 0 0.25 0.24 6 121 0.993 11.4
"1319" "medium" 1 0.63 0.27 17 91 0.99616 9.8
"3832" "medium" 0 0.2 0.31 16 89 0.99416 9.5
"2894" "bad" 0 0.41 0.22 10 102 0.993 11.6
"3282" "good" 0 0.25 0.28 55 205 0.9986 9
"5782" "medium" 0 0.38 0.56 15 170 0.99605 9.9
"570" "medium" 1 0.36 0.24 19 42 0.9946 11.7
"5111" "good" 0 0.19 0.28 22 90 0.99038 11.7
"6433" "medium" 0 0.33 0.28 33 97 0.99126 10.9
"229" "medium" 1 0.43 0.25 29 63 0.99615 10.5
"5419" "medium" 0 0.35 0.26 36 120 0.99188 11.5
"2174" "good" 0 0.2 0.33 39 138 0.991 11.7
"1749" "medium" 0 0.25 0.3 23 116 0.994 9.4
"4782" "medium" 0 0.12 0.33 23 131 0.99164 9.8
"5163" "medium" 0 0.48 0.12 23 86 0.99398 9
"6059" "medium" 0 0.22 0.18 28 120 0.99403 9.9
"4836" "medium" 0 0.22 0.39 44 141 0.99123 12.5
"5635" "medium" 0 0.2 0.22 53 172 0.99404 11
"6054" "medium" 0 0.18 0.26 17 149 0.9984 9.4
"6437" "medium" 0 0.28 0.38 54 216 0.99154 13.1
"3347" "medium" 0 0.3 0.36 33 169 0.9982 9.3
"684" "medium" 1 0.78 0.23 5 15 0.997 11.3
"48" "medium" 1 0.29 0.52 12 37 0.9969 9.5
"2117" "medium" 0 0.15 0.42 49 154 0.992 10.4
"1224" "medium" 1 0.36 0.47 9 23 0.99638 12
"96" "medium" 1 0.6 0.17 17 106 0.9932 12.9
"4131" "bad" 0 0.54 0.27 8 178 0.99502 9.4
"2726" "good" 0 0.115 0.29 73 166 0.989 12.9
"2511" "medium" 0 0.33 0.19 22 143 0.99425 9.9
"6262" "medium" 0 0.17 0.36 44 111 0.99272 12.4
"3086" "medium" 0 0.15 0.49 17 51 0.9932 9.4
"1253" "medium" 1 0.72 0 6 14 0.99627 9.8
"4549" "medium" 0 0.28 0.52 30 139 0.99494 9
"723" "medium" 1 0.42 0.08 15 48 0.9968 10
"5287" "medium" 0 0.16 0.27 39 98 0.99402 10.8
"3739" "medium" 0 0.33 0.64 12 105 0.9972 9.2
"1658" "medium" 0 0.38 0.15 25 78 0.9931 10.2
"76" "medium" 1 0.41 0.64 9 42 0.9986 10.5
"1604" "medium" 0 0.23 0.32 47 186 0.9956 9.9
"149" "medium" 1 0.49 0.1 12 30 0.9959 10.2
"554" "medium" 1 1.04 0.24 32 96 0.9934 11.5
"349" "medium" 1 0.56 0.31 15 46 0.9979 10
"639" "good" 1 0.915 0.12 7 23 0.9964 10.2
"416" "medium" 1 0.725 0.24 31 134 1.0014 9.3
"2966" "medium" 0 0.14 0.41 22 95 0.9914 10.9
"378" "good" 1 0.27 0.53 6 18 0.9962 12
"475" "medium" 1 0.28 0.51 10 24 0.9982 9.4
"1212" "medium" 1 0.44 0.15 22 53 0.9957 9.3
"5670" "medium" 0 0.28 0.27 41 162 0.99498 9.9
"15" "medium" 1 0.62 0.18 52 145 0.9986 9.2
"4986" "good" 0 0.28 0.27 56 140 0.99042 12.5
"324" "medium" 1 0.59 0.42 35 73 0.999 9.5
"3657" "good" 0 0.31 0.31 20 151 0.9926 12
"5571" "medium" 0 0.17 0.3 33 125 0.99152 10.4
"881" "medium" 1 0.56 0.18 10 21 0.99576 9.9
"322" "medium" 1 0.61 0.26 25 87 0.99975 9.7
"1998" "medium" 0 0.26 0.27 52 168 0.9993 9.4
"3795" "medium" 0 0.25 0.18 13 137 0.9935 9.5
"5064" "medium" 0 0.29 0.41 52 171 0.99537 9.6
"232" "medium" 1 0.38 0.06 12 49 0.99625 9.9
"5447" "medium" 0 0.32 0.23 36 176 0.9986 9.1
"2232" "medium" 0 0.24 0.33 16 131 0.9936 10.7
"5307" "medium" 0 0.34 0.43 29 114 0.99014 12.6
"3578" "medium" 0 0.33 0.26 23 103 0.9932 10.5
"4645" "medium" 0 0.12 0.26 21 99 0.99324 9.9
"6277" "good" 0 0.28 0.52 37 104 0.99161 11.8
"6483" "medium" 0 0.47 0.17 60 148 0.98964 11.5
"1028" "medium" 1 0.795 0 28 52 0.99378 11.6
"5649" "medium" 0 0.16 0.36 32 98 0.99058 11.3
"1493" "medium" 1 0.65 0.06 6 18 0.99348 11.95
"52" "medium" 1 0.52 0.04 8 15 0.9956 9.4
"4329" "good" 0 0.29 0.31 24 79 0.99053 11.4
"5765" "good" 0 0.22 0.35 23 83 0.99019 12
"4927" "good" 0 0.17 0.36 11 70 0.99202 10.4
"4871" "good" 0 0.32 0.34 27 91 0.99184 12
"5099" "good" 0 0.33 0.3 30 124 0.98922 13.1
"419" "medium" 1 0.38 0.51 7 20 0.9996 10.4
"2019" "medium" 0 0.31 0.28 33 137 0.9929 10.5
"3490" "medium" 0 0.3 0.42 45 213 0.9991 9.2
"5412" "medium" 0 0.21 0.39 21 138 0.99176 10.9
"4310" "medium" 0 0.25 0.34 66 184 0.99976 8.9
"2156" "medium" 0 0.35 0.71 22 160 0.9982 9.4
"4040" "medium" 0 0.46 0.26 49 159 0.99434 10
"4791" "medium" 0 0.24 0.44 49 146 0.9911 11.6
"6205" "medium" 0 0.29 0.32 38 93 0.9906 12
"1295" "medium" 1 0.635 0.1 25 60 0.99638 10.9
"4177" "medium" 0 0.25 0.36 63 206 0.99553 9.6
"2216" "good" 0 0.32 0.33 18 101 0.9912 11.7
"6355" "medium" 0 0.29 0.73 21 92 0.99 12.4
"4493" "good" 0 0.16 0.34 85 153 0.9909 12
"4428" "good" 0 0.14 0.31 53 138 0.99084 11.5
"3089" "medium" 0 0.16 0.74 52 187 0.9998 9.3
"2142" "medium" 0 0.35 0.35 14 167 0.992 9.9
"4354" "medium" 0 0.17 0.28 5 28 0.98985 10.6
"5650" "good" 0 0.16 0.27 25 135 0.9984 8.7
"2801" "good" 0 0.17 0.37 26 75 0.9922 10.8
"2977" "medium" 0 0.28 0.41 10 136 0.993 11.4
"919" "medium" 1 0.36 0.32 32 79 0.9964 11
"1951" "good" 0 0.33 0.4 32 138 0.992 11.9
"3641" "medium" 0 0.14 0.27 22 104 0.9949 9
"5697" "medium" 0 0.14 0.28 21 82 0.99425 10
"6452" "medium" 0 0.23 0.38 12 113 0.99176 11.4
"3271" "good" 0 0.35 0.3 27 87 0.9936 11.4
"4515" "medium" 0 0.14 0.38 22 81 0.99043 11.4
"3665" "medium" 0 0.27 0.28 21 127 0.9934 9.9
"4167" "medium" 0 0.24 0.28 39 132 0.99182 11.4
"6008" "medium" 0 0.29 0.16 48 197 0.99512 9.4
"6094" "medium" 0 0.24 0.29 34 84 0.9902 11.45
"605" "medium" 1 0.58 0.13 14 63 0.9984 9.1
"5608" "medium" 0 0.25 0.48 25 94 0.99782 9.2
"2942" "medium" 0 0.58 0.27 37 116 0.9959 10.8
"2360" "medium" 0 0.18 0.38 44 176 0.9958 9.8
"4579" "good" 0 0.36 0.26 39 123 0.99119 12.2
"4805" "good" 0 0.45 0.36 28 156 0.991 12.4
"239" "medium" 1 0.63 0 14 38 0.99675 9
"612" "medium" 1 0.38 0.55 5 16 1.0006 9.4
"4937" "medium" 0 0.38 0.29 52 189 0.99784 9.5
"3692" "medium" 0 0.76 0.03 27 93 0.9932 9.2
"4287" "medium" 0 0.24 0.38 56 187 0.99577 9.2
"2203" "medium" 0 0.475 0.06 9 131 0.9904 10.8
"1547" "medium" 1 0.57 0.02 17 26 0.99575 10.2
"5444" "medium" 0 0.37 0.25 24 84 0.9909 11.7
"872" "medium" 1 0.56 0.03 36 46 0.99522 10.6
"4513" "medium" 0 0.18 0.3 49 199 0.99413 9.3
"6280" "bad" 0 0.63 0.04 25 133 0.99271 10.2
"5050" "good" 0 0.21 0.29 43 106 0.99112 11.5
"2226" "bad" 0 0.56 0.12 22 177 0.9983 9.1
"5135" "medium" 0 0.28 0.44 49 179 0.99528 9.2
"5278" "medium" 0 0.23 0.25 19 111 1.00044 8.7
"2570" "good" 0 0.42 0.01 25 102 0.9894 12.3
"4509" "medium" 0 0.18 0.3 23 73 0.99032 11.3
"2732" "medium" 0 0.39 0.31 28 162 0.9988 9.1
"1820" "medium" 0 0.27 0.36 45 164 0.9939 11
"5495" "medium" 0 0.25 0.33 17 76 0.99021 12.3
"1882" "bad" 0 0.44 0.37 46 201 0.9938 10.5
"789" "medium" 1 0.56 0.24 19 58 0.9991 10.1
"4290" "medium" 0 0.3 0.25 26 124 0.99428 9.3
"1249" "medium" 1 0.41 0.33 22 36 0.9949 11.1
"3306" "medium" 0 0.24 0.22 38 157 0.9934 9.9
"5468" "medium" 0 0.22 0.25 112 177 0.9961 9.4
"2342" "medium" 0 0.2 0.37 26 136 0.9932 10.2
"2217" "medium" 0 0.26 0.27 52 195 0.9928 10.9
"1252" "medium" 1 0.58 0.14 27 60 0.9963 9.8
"1828" "medium" 0 0.17 0.32 41 200 0.9938 9.7
"832" "medium" 1 0.61 0.08 16 24 0.99376 11.1
"4529" "medium" 0 0.22 0.29 39 118 0.99834 9.1
"2750" "medium" 0 0.32 0.17 69 219 0.9959 8.9
"5511" "medium" 0 0.23 0.82 70 109 0.99304 9.2
"4111" "medium" 0 0.3 0.49 68 215 0.99656 9.4
"2200" "medium" 0 0.3 0.35 36 160 0.9937 9.4
"695" "medium" 1 0.47 0.31 24 125 0.9984 9.4
"611" "medium" 1 0.24 0.54 25 57 0.9983 9.2
"1916" "medium" 0 0.25 0.34 34 134 0.9927 10.6
"1646" "bad" 0 0.45 0.26 63 206 0.994 9.8
"1774" "medium" 0 0.27 0.31 33 173 0.999 10.2
"1977" "good" 0 0.2 0.44 21 98 0.9924 10
"5298" "medium" 0 0.22 0.34 32 96 0.98961 11.6
"1007" "good" 1 0.29 0.33 13 27 0.99516 11.7
"3956" "medium" 0 0.34 0.32 29 130 0.99354 10.4
"5659" "medium" 0 0.16 0.36 32 98 0.99058 11.3
"6" "medium" 1 0.66 0 13 40 0.9978 9.4
"1365" "medium" 1 0.605 0.02 10 31 0.995 11.8
"619" "medium" 1 0.46 0.5 4 17 1.0006 10.2
"3131" "good" 0 0.3 0.49 26 174 0.9943 11.2
"2941" "medium" 0 0.54 0.23 13 151 0.9931 10.4
"2027" "medium" 0 0.29 0.5 48 194 0.9974 9.4
"3838" "medium" 0 0.15 0.29 39 151 0.99471 10.6
"6039" "medium" 0 0.47 0.16 14 125 0.99428 9.8
