id,label
1430,2
1432,1
1433,1
1442,2
1443,1
1444,1
1446,2
1447,2
1449,1
1451,1
1453,1
1454,2
1455,2
1458,1
1460,2
1461,2
1463,1
1464,2
1465,2
1468,1
1469,1
1473,1
1476,1
1479,2
1481,1
1482,1
1484,1
1486,1
1488,1
1489,2
1492,2
1493,1
1494,1
1495,2
1499,1
1513,2
1515,1
1516,2
1520,2
1522,2
1527,1
1529,2
1531,1
1534,1
1535,2
1537,2
1541,2
1543,2
1544,1
1545,2
1546,1
1547,2
1549,2
1550,1
1551,1
1552,2
1553,1
1556,2
1557,1
1558,1
1564,2
1565,1
1567,2
1570,2
1571,1
1573,2
1578,1
1580,1
1582,1
1584,1
1586,1
1587,1
1590,1
1591,2
1594,2
1600,2
1601,2
1605,1
1606,1
1610,1
1614,2
1616,1
1617,1
1618,1
1619,2
1622,1
1624,1
1625,2
1626,2
1628,2
1634,2
1635,2
1638,1
1641,2
1642,2
1650,1
1651,1
1652,1
1654,1
1657,2
1659,1
1661,2
1664,1
1665,1
1668,2
1669,1
1671,2
1672,1
1673,1
1674,2
1679,1
1683,2
1690,1
1691,1
1693,2
1694,1
1700,2
1702,2
1703,2
1713,1
1717,2
1718,2
1721,2
1732,2
1734,2
1736,1
1743,1
1746,2
1748,2
1749,2
1750,2
1754,2
1756,2
1758,1
1762,2
1764,1
1766,2
1768,1
1774,1
1776,1
1781,2
1783,2
1786,2
1790,2
1791,2
1792,2
1798,1
1799,2
1800,2
1804,1
1811,2
1813,2
1814,2
1819,2
1820,1
1821,2
1826,1
1830,2
1832,1
1833,2
1837,2
1839,2
1840,2
1841,2
1849,1
1851,1
1852,1
1854,2
1856,2
1863,1
1865,1
1866,1
1867,2
1873,2
1874,2
1877,2
1878,1
1884,2
1885,2
1888,1
1891,2
1892,2
1893,2
1908,1
1912,1
1914,1
1917,2
1919,2
1922,1
1923,2
1924,2
1931,1
1932,1
1933,1
1934,2
1936,2
1940,2
1941,2
1943,1
1944,1
1945,2
1946,2
1949,2
1955,1
1956,1
1957,2
1959,2
1960,2
1964,1
1966,1
1968,2
1972,2
1981,1
1982,2
1984,1
1988,1
1997,2
2003,2
2005,1
2007,2
2009,2
2010,2
2011,1
2014,2
2018,1
2019,1
2020,2
2023,2
2027,2
2029,2
2031,2
2035,1
2038,1
2042,1
2043,2
2044,1
2045,2
2050,2
2051,2
2053,1
2058,1
2061,2
2062,1
2063,2
2064,2
2068,2
2069,1
2071,2
2072,1
2074,2
2075,1
2076,1
2078,2
2079,1
2082,1
2084,1
2086,1
2087,1
2088,1
2089,2
2090,2
2091,1
2095,1
2100,2
2102,1
2105,2
2108,2
2114,2
2119,1
2120,1
2126,1
2129,2
2132,2
2134,2
2139,2
2144,2
2151,1
2152,2
2154,1
2155,1
2159,1
2161,2
2163,2
2164,2
2167,1
2169,2
2171,1
2172,2
2175,2
2178,1
2180,1
2181,1
2182,2
2190,1
2192,1
2193,2
2194,2
2198,2
2199,1
2210,1
2216,1
2221,2
2222,2
2223,2
2228,1
2246,1
2247,1
2248,2
2251,1
2253,1
2257,2
2260,2
2263,2
2266,2
2268,2
2270,2
2274,1
2277,1
2279,2
2281,2
2284,2
2290,1
2291,2
2292,2
2293,1
2294,1
2297,1
2299,2
2301,2
2302,1
2304,2
2306,2
2307,2
2309,1
2311,2
2312,2
2313,2
2315,2
2318,2
2325,1
2329,1
2330,1
2331,2
2332,2
2334,1
2337,1
2339,1
2341,1
2342,2
2343,1
2344,1
2345,1
2349,1
2350,1
2351,1
2354,1
2358,2
2359,1
2362,2
2363,1
2367,2
2369,2
2370,2
2371,2
2372,1
2374,1
2376,2
2378,2
2380,1
2383,1
2384,1
2385,1
2389,1
2390,1
2391,2
2393,2
2394,2
2399,2
2402,1
2403,1
2405,2
2406,2
2407,1
2409,1
2412,1
2416,2
2423,1
2427,2
2428,1
2431,2
2433,1
2437,1
2438,1
2442,2
2443,2
2446,2
2451,2
2452,2
2453,1
2454,1
2459,2
2463,1
2464,1
2465,1
2469,2
2472,1
2473,1
2476,1
2478,1
2481,1
2488,1
2489,1
2491,1
2492,2
2493,2
2498,1
2499,1
2503,2
2504,1
2505,1
2508,1
2510,1
2511,1
2514,2
2516,2
2517,1
2518,1
2523,2
2525,2
2526,2
2530,2
2531,1
2532,2
2533,2
2540,1
2544,2
2550,1
2551,1
2552,2
2553,2
2555,1
2562,2
2569,2
2571,1
2574,2
2575,1
2580,1
2581,2
2582,2
2586,1
2589,1
2590,1
2591,2
2593,1
2595,1
2599,1
2600,2
2605,2
2606,2
2611,2
2614,2
2615,1
2621,1
2622,1
2623,2
2624,1
2630,2
2631,1
2632,2
2635,2
2636,2
2638,2
2639,1
2640,2
2641,1
2642,2
2643,1
2645,2
2646,1
2648,1
2650,2
2653,1
2657,2
2658,2
2663,2
2667,1
2668,2
2670,1
2671,2
2672,2
2675,1
2676,1
2678,1
2679,1
2680,1
2681,1
2684,2
2685,1
2688,2
2697,1
2700,1
2702,2
2703,2
2706,1
2717,2
2718,1
2719,1
2720,2
2724,2
2728,1
2730,2
2731,1
2733,1
2735,2
2737,1
2738,1
2740,2
2744,1
2745,2
2746,2
2748,1
2749,1
2752,1
2753,2
2754,1
2757,1
2766,2
2771,1
2774,2
2777,2
2778,1
2779,1
2781,2
2784,1
2792,2
2797,2
2801,2
2803,1
2805,2
2807,2
2809,1
2810,1
2812,2
2813,1
2815,2
2818,2
2820,1
2823,2
2828,1
2830,1
2831,2
2833,2
2835,1
2836,2
2837,2
2838,1
2839,1
2840,2
2842,2
2843,1
2846,1
2855,2
2856,1
2859,2
2860,2
2861,1
2862,2
2863,1
2864,1
2870,2
2871,2
2877,2
2879,1
2882,2
2887,1
2890,1
2895,1
2897,2
2900,1
2901,2
2906,1
2909,2
2913,1
2918,2
2923,1
2928,1
2929,1
2932,2
2934,1
2936,2
2941,2
2945,1
2946,1
2947,1
2949,1
2950,2
2953,1
2959,1
2963,2
2966,2
2967,1
2969,1
2973,2
2974,1
2975,2
2977,1
2981,2
2983,1
2984,1
2985,2
2992,2
2996,2
2997,1
2998,1
3001,1
3009,1
3013,1
3016,2
3018,2
3019,1
3020,1
3021,1
3022,2
3027,1
3028,1
3037,2
3039,1
3043,1
3044,1
3049,1
3051,2
3054,1
3057,2
3058,2
3059,2
3061,1
3062,2
3064,1
3065,1
3072,1
3074,2
3079,1
3084,2
3087,2
3091,1
3096,1
3111,2
3113,1
3117,1
3119,2
3120,1
3122,1
3123,1
3124,2
3127,2
3132,2
3133,2
3138,2
3140,2
3144,2
3145,1
3148,1
3149,1
3153,1
3157,1
3159,2
3161,2
3163,1
3164,2
3167,2
3173,1
3175,1
3179,1
3181,2
3184,2
3185,2
3188,2
3194,1
3199,1
3204,2
3207,1
3210,2
3214,2
3219,2
3220,2
3222,2
3223,2
3227,1
3230,1
3232,1
3235,2
3238,1
3240,1
3248,1
3249,2
3250,1
3251,2
3252,1
3256,2
3258,2
3259,1
3260,1
3262,1
3263,2
3266,1
3267,1
3271,2
3272,2
3274,2
3278,1
3280,2
3281,1
3283,1
3286,1
3287,2
3288,2
3289,2
3295,1
3299,2
3306,1
3310,2
3311,1
3312,2
3314,1
3317,2
3318,1
3319,2
3327,1
3330,2
3332,1
3334,1
3335,2
3338,2
3341,1
3344,2
3347,2
3348,1
3352,2
3353,2
3358,1
3363,2
3367,2
3368,2
3369,2
3371,2
3372,1
3373,1
3378,1
3380,1
3382,1
3383,1
3385,2
3389,1
3392,1
3394,2
3397,1
3399,1
3405,2
3406,2
3407,2
3415,2
3420,1
3422,1
3429,1
3432,2
3433,1
3435,1
3439,1
3440,1
3441,1
3443,1
3445,1
3446,2
3447,1
3451,2
3452,1
3453,1
3454,2
3455,2
3456,1
3458,1
3459,2
3462,2
3465,2
3469,2
3475,2
3480,2
3481,2
3482,2
3484,1
3488,2
3491,1
3494,1
3496,2
3498,1
3499,1
3500,1
3502,2
3505,1
3513,1
3515,2
3518,2
3521,1
3522,2
3527,2
3532,2
3538,2
3542,1
3544,1
3546,1
3547,1
3549,2
3550,2
3552,1
3558,1
3561,2
3565,1
3567,2
3568,1
3573,1
3582,2
3586,1
3588,2
3589,2
3593,2
3595,2
3597,2
3598,1
3599,2
3600,1
3601,2
3604,2
3607,2
3608,2
3609,2
3612,1
3613,2
3614,1
3619,2
3623,2
3624,2
3626,1
3632,2
3633,1
3636,2
3640,1
3641,2
3642,1
3643,1
3644,2
3647,2
3648,2
3651,1
3652,2
3653,1
3657,1
3658,2
3659,2
3662,1
3668,1
3673,1
3674,1
3676,1
3678,2
3681,2
3684,1
3686,1
3687,1
3696,1
3701,2
3702,1
3707,2
3712,2
3713,2
3715,1
3720,2
3725,1
3728,2
3729,1
3732,2
3734,2
3737,2
3739,2
3740,2
3742,2
3745,2
3747,2
3757,2
3760,2
3762,1
3765,2
3769,2
3771,2
3773,1
3774,2
3778,2
3781,2
3782,1
3783,1
3787,2
3791,2
3793,2
3796,2
3808,2
3813,1
3814,2
3815,2
3819,1
3820,2
3822,1
3829,1
3832,1
3835,2
3844,1
3845,2
3851,2
3855,1
3856,2
3858,1
3859,1
3860,2
3865,1
3869,1
3870,1
3872,2
3875,2
3877,1
3879,1
3884,2
3885,2
3889,1
3891,2
3894,1
3897,1
3898,2
3899,2
3901,1
3904,2
3905,2
3906,1
3908,2
3912,2
3913,1
3918,2
3935,2
3937,2
3947,2
3952,1
3958,2
3960,1
3970,2
3971,2
3975,1
3977,2
3979,1
3980,2
3982,1
3983,2
3984,2
3985,1
3987,1
3989,2
3992,1
3993,2
3995,2
