"nom" "longitude" "latitude" "colline" "gare" "porte" "mairie" "tourisme"
"19121" " BELLEVILLE PRE SAINT GERVAIS" 2.39296078727983 48.8755180686487 1 0 0 0 0
"10042" " POISSONNIÈRE - ENGHIEN" 2.34839523628281 48.8724200630531 0 0 0 0 0
"15118" " PLACE BIENVENUE" 2.32225737727924 48.8431988280709 0 1 0 0 0
"15064" " JAVEL" 2.2784139125938 48.8462949182689 0 0 0 0 0
"3011" " TURBIGO" 2.35627844763363 48.8655841910852 0 0 0 0 0
"18028" " VAUVENARGUES" 2.33219933598001 48.894057251327 0 0 0 0 0
"12032" " PORTE DOREE" 2.40745551592605 48.835545043576 0 0 1 0 0
"17011" " PORTE DE CLICHY FRAGONARD" 2.31467800111538 48.8941513832937 0 0 1 0 0
"15105" " SUFFREN FÉDÉRATION" 2.29787643146792 48.8527667435281 0 0 0 0 1
"13045" " TOLBIAC ALBERT" 2.37053056385548 48.8278380326495 0 0 0 0 0
"8034" " HAUSSMANN COURCELLES" 2.30831406418914 48.8748103900282 0 0 0 0 1
"14115" " CITÉ UNIVERSITAIRE" 2.31657332931609 48.8239231685446 0 0 1 0 0
"20018" " HARPIGNIES" 2.40994255387768 48.8586216693501 0 0 0 0 0
"19101" " SIMON BOLIVAR" 2.38259171497997 48.8750704040631 1 0 0 0 0
"10111" " BOURSE DU TRAVAIL" 2.36403505925044 48.8734627987082 0 1 0 0 0
"19006" " MATHIS" 2.37614246886362 48.8906781294313 0 0 0 0 0
"2020" " OPERA CASANOVA" 2.33326859310154 48.8676230780568 0 0 0 0 1
"11009" " RUE DES BOULETS" 2.3890216505832 48.8521930954375 0 0 0 0 0
"9034" " GODOT DE MAUROY" 2.3265996571137 48.8699566815748 0 0 0 0 0
"1102" " FRANCAISE" 2.34759791271647 48.8640650469499 0 0 0 0 1
"17038" " ARGENTINE" 2.28824740508752 48.8761743894985 0 0 0 0 1
"4105" " MORLAND" 2.36323986872132 48.8499600352775 0 0 0 0 0
"18107" " CHARTRES" 2.35358041022707 48.8847068639833 0 1 0 0 0
"18012" " DOUDEAUVILLE STEPHENSON" 2.35596672141756 48.8888648960566 0 0 0 0 0
"17040" " TERNES PEREIRE" 2.28795645234244 48.8798132183375 0 0 0 0 0
"5106" " CUJAS" 2.34183165485398 48.8481913485843 0 0 0 0 1
"18038" " ROND POINT DE LA CHAPELLE" 2.36009761909542 48.8952199046801 0 0 0 0 0
"13122" " PARC DE CHOISY" 2.35851353290333 48.8281562515749 0 0 0 0 0
"18025" " MAIRIE DU 18 EME" 2.34451792116264 48.8929256534326 0 0 0 1 1
"10161" " GARE DE L'EST" 2.35950993759232 48.8756701124814 0 1 0 0 0
"908" " PORT DU GROS CAILLOU (STATION MOBILE)" 2.30652 48.86288 0 0 0 0 1
"8017" " ROCHER" 2.32273156204932 48.876079329226 0 1 0 0 0
"17019" " MALESHERBES" 2.30902648733927 48.8826088164334 0 0 0 0 0
"16023" " RUE DE PASSY" 2.28412901289213 48.8583812528973 0 0 0 0 0
"18024" " CLIGNANCOURT MARCADET" 2.34863647806049 48.8914577261538 0 0 0 0 1
"13014" " GARE D'AUSTERLITZ" 2.36404495865652 48.8425244907662 0 1 0 0 0
"11036" " JULES FERRY FAUBOURG DU TEMPLE" 2.36784149724351 48.8684101048247 0 0 0 0 0
"3006" " MAIRIE DU 3EME" 2.36157981521499 48.8645308053075 0 0 0 1 0
"15104" " HÔPITAL GEORGES POMPIDOU (PROP 2)" 2.27573060931238 48.8376790033084 0 0 0 0 0
"31009" " DE GAULLE (MONTREUIL)" 2.43297479522392 48.8688123638694 1 0 0 0 0
"42002" " GARE (IVRY)" 2.39200163582493 48.8149264672463 0 1 0 0 0
"6018" " MICHELET ASSAS" 2.3350678855655 48.842540966044 0 0 0 0 0
"5001" " SAINT GERMAIN HARPE" 2.34370453672277 48.8515813400282 0 0 0 0 1
"14034" " RUE DE L OUEST CHATEAU" 2.3193921439238 48.8361728601424 1 0 0 0 0
"19110" " MACDONALD" 2.3755 48.89869 0 1 0 0 0
"31701" " BERTON (BAGNOLET)" 2.41781693473698 48.868453299036 1 0 0 0 0
"6104" " HERSCHEL" 2.33780343096904 48.8433642427731 0 0 0 0 1
"11031" " PARMENTIER" 2.3730715073892 48.8645557653168 0 0 0 0 0
"13113" " CHOISY VISTULE" 2.36157153415636 48.8236339763885 0 0 0 0 0
"2004" " REAUMUR MONTORGUEIL" 2.3486324654447 48.8669737142397 0 0 0 0 1
"34010" " DIDEROT 2 (SAINT OUEN)" 2.33391012712922 48.9115704593083 0 0 0 0 0
"2006" " PLACE DES VICTOIRES" 2.3419204119623 48.8660026325651 0 0 0 1 1
"15019" " VAUGIRARD CAMBRONNE" 2.30450742096121 48.8400577188391 0 0 0 0 0
"18035" " PORTE MONTMARTRE" 2.33689345355729 48.8991359901418 0 0 1 0 1
"15032" " LOURMEL" 2.28175554013876 48.8387344082747 0 0 0 0 0
"21301" " SAINT VINCENT (ISSY LES MOULINEAUX)" 2.25386941995849 48.8194899938888 0 0 0 0 0
"16001" " AVENUE DES PORTUGAIS" 2.29369213364784 48.8712137121912 1 0 0 0 1
"42705" " CONVENTION (LE KREMLIN BICETRE)" 2.3610411664423 48.8128002963747 0 0 0 0 0
"2021" " CLERY" 2.34452661511422 48.8674674414641 0 0 0 0 1
"15018" " ALLERAY" 2.30687451712267 48.8365756642503 0 0 0 0 0
"20037" " SAINT FARGEAU" 2.40395075220876 48.8712659183557 1 0 0 0 0
"33003" " FAURE (AUBERVILLIERS)" 2.3831254909144 48.9039640245585 0 0 0 0 0
"13121" " IVRY BRUNESEAU" 2.38858067885378 48.8249528728704 0 0 0 0 0
"22406" " MOQUET (MALAKOFF)" 2.29800015657617 48.8152498542058 0 0 0 0 0
"11034" " PARMENTIER FONTAINE AU ROI" 2.37270597867147 48.8678767055174 0 0 0 0 0
"9030" " VICTOIR CHAUSSEE D ANTIN" 2.33203631336864 48.8751858641775 0 0 0 0 0
"12029" " DUGOMMIER" 2.38972450812019 48.8388490233951 0 0 0 0 0
"2016" " ABOUKIR" 2.35018588824494 48.8686604815393 0 0 0 0 0
"5013" " ULM ERASME" 2.3445966499316 48.8425479496716 1 0 0 0 1
"2102" " SAINT MARC" 2.34187856663061 48.870314763995 0 0 0 0 1
"11024" " BOULEVARD VOLTAIRE" 2.37887132712036 48.8588289084143 0 0 0 0 0
"2007" " CHABANAIS" 2.33668660823888 48.8671234464486 0 0 0 0 1
"12011" " CHARENTON" 2.38257893505445 48.8448673195541 0 0 0 0 0
"21706" " BLEUZEN (VANVES)" 2.29650634355336 48.8233032340816 0 0 0 0 0
"14113" " ARAGO 2" 2.34157863455693 48.8351288650429 0 0 0 0 0
"12024" " GARE DE BERCY" 2.38241 48.83976 0 1 0 0 0
"10040" " BELLEVILLE" 2.37634839464598 48.87277815649 0 0 0 0 0
"15033" " VIOLET" 2.29054156015453 48.8447903902618 0 0 0 0 0
"43006" " MINIMES (VINCENNES)" 2.43079345113368 48.8414868563002 0 0 0 0 0
"11043" " CIRQUE D HIVER" 2.36705349044991 48.8626503001403 0 0 0 0 0
"6029" " VAUGIRARD PRINCE" 2.34104050870596 48.8489229581858 0 0 0 0 1
"13116" " PLACE DU DOCTEUR YERSIN" 2.37220930964573 48.8202267926197 0 0 0 0 0
"11032" " METALLOS" 2.3778855156848 48.867937963098 0 0 0 0 0
"6021" " BONAPARTE BEAUX ARTS" 2.33479762294837 48.8564374096868 0 0 0 0 1
"11001" " BASTILLE RICHARD LENOIR" 2.3697014882175 48.853848226211 0 0 0 0 0
"5018" " MUTUALITE" 2.35016993902064 48.8483857647167 0 0 0 0 1
"13001" " PORT ROYAL" 2.3446640434263 48.8377279209782 0 0 0 0 0
"4103" " HOTEL DE VILLE" 2.35397627361878 48.8572037876971 0 0 0 0 1
"35001" " JAURES 1 (PANTIN)" 2.39932563330523 48.9101370950539 0 0 0 0 0
"2101" " BACHAUMONT" 2.34546365270257 48.8660671500868 0 0 0 0 1
"7004" " RASPAIL VARENNE" 2.32631980638438 48.8532616686117 0 0 0 0 0
"18018" " CARPEAUX" 2.33082039647774 48.8907472101714 0 0 0 0 0
"32605" " HORTENSIAS (LES LILAS)" 2.42327263606036 48.8821730942046 1 0 0 0 0
"2012" " QUATRE SEPTEMBRE" 2.3360394555421 48.8699697339689 0 0 0 0 0
"18019" " MONTCALM" 2.33544742768979 48.8918779570874 1 0 0 0 0
"20008" " MARAICHERS" 2.40587104452954 48.853246898212 0 0 0 0 0
"15069" " BOUCICAUT FAURE" 2.2883866008495 48.841249336041 0 0 0 0 0
"5027" " GOBELINS" 2.35143332976764 48.8371260386106 0 0 0 0 0
"10032" " DODU" 2.37007170698515 48.872859139003 0 0 0 0 0
"43001" " PARIS 1 (VINCENNES)" 2.42024734047464 48.8463380538888 0 0 0 0 0
"9029" " TRINITE" 2.33276238001163 48.8768593272933 0 0 0 0 0
"15047" " DANTZIG" 2.29928264159962 48.8331797705565 0 0 0 0 0
"11109" " REPUBLIQUE PIERRE LEVEE" 2.37109744847151 48.8663313479025 0 0 0 0 0
"16019" " HENRI MARTIN" 2.26880655019948 48.8630253153883 0 0 1 0 0
"8048" " MARCEAU" 2.29851404880358 48.8688517082349 0 0 0 0 1
"9014" " FAUBOURG MONTMARTRE" 2.34077266233144 48.8753297231533 0 0 0 0 1
"42703" " FONTAINEBLEAU (KREMLIN BICETRE)" 2.36268350990116 48.8095823380351 1 0 0 0 0
"18041" " MARTYRS 2" 2.34065184962233 48.8821942039509 1 0 0 0 1
"10006" " PETITES ECURIES" 2.35403448428308 48.8729397678371 0 1 0 0 0
"16016" " PAUL DOUMER / LA TOUR" 2.28084048191106 48.8601161096266 0 0 0 0 0
"17044" " PORTE DE SAINT OUEN" 2.32851451022192 48.8979224085452 0 0 1 0 0
"12107" " DIDEROT BOURDAN" 2.39023863314186 48.8476538809846 0 0 0 0 0
"7014" " SAINT FRANCOIS XAVIER" 2.31463384062783 48.8516782290479 0 0 0 0 0
"17028" " PORTE DE COURCELLE" 2.29631993184172 48.888800020649 0 0 1 0 0
"19019" " PETIT HONNEGER" 2.39363751443361 48.8863896349246 0 0 0 0 0
"42706" " SALENGRO (KREMLIN BICETRE)" 2.36134550272134 48.8146624956089 0 0 0 0 0
"8052" " WASHINGTON" 2.29997293264267 48.8728829909744 0 0 0 0 1
"15041" " LABROUSTE" 2.3068984782082 48.8328539082769 0 0 0 0 0
"13120" " VITRY DESAULT" 2.37871860660868 48.8211387514376 0 0 0 0 0
"14006" " SAINT JACQUES TOMBE ISSOIRE" 2.33693339124815 48.8331903187525 0 0 0 0 0
"10036" " AQUEDUC" 2.36711064403166 48.8838432656888 0 0 0 0 0
"13034" " EDISON" 2.36106902408942 48.8290266697347 0 0 0 0 0
"9026" " BRUYERE PIGALLE" 2.33370917333728 48.8793982644772 0 0 0 0 0
"31004" " PARIS 2 (MONTREUIL)" 2.42205573361323 48.8555013128647 0 0 0 0 0
"18034" " LEIBNITZ" 2.33339042383468 48.896328348516 0 0 0 0 1
"17046" " MAC MAHON" 2.29451253605293 48.8775320841302 0 0 0 0 1
"20043" " CHARONNE AVRON" 2.39840304703793 48.8516026652216 0 0 0 0 0
"9035" " PLACE DE BUDAPEST" 2.32733929071423 48.8777532340006 0 1 0 0 0
"35009" " LOLIVE 1 (PANTIN)" 2.40910773770119 48.8921394093072 0 0 0 0 0
"14117" " MOUCHOTTE" 2.32095412572888 48.8393250250604 0 1 0 0 0
"14037" " JEAN MOULIN" 2.32184998734424 48.8257098170281 0 0 0 0 0
"16002" " PERGOLESE" 2.2842194320606 48.8751849611119 0 0 0 0 0
"9012" " ROUGEMONT" 2.34583645559793 48.8715422136421 0 0 0 0 1
"12002" " LACUEE" 2.3705034238696 48.849215862624 0 1 0 0 0
"15009" " SUFFREN" 2.30705214759679 48.8471756149276 0 0 0 0 0
"7003" " BON MARCHE" 2.32507003873862 48.8512303802885 0 0 0 0 0
"12030" " WATTIGNIES" 2.39179585555563 48.8366757964063 0 0 0 0 0
"16043" " PLACE DE PASSY" 2.2775005469422 48.857802917112 0 0 0 0 0
"42503" " LENINE (GENTILLY)" 2.33205479495042 48.8131566777178 0 0 0 0 0
"1003" " RIVOLI SAINT DENIS" 2.34762008768451 48.8591502872556 0 0 0 0 1
"6013" " JACQUES CALLOT" 2.33753933406029 48.8552546877505 0 0 0 0 0
"13048" " TOLBIAC WURTZ" 2.3443017158653 48.826494328264 0 0 0 0 0
"15114" " PASTEUR COTENTIN" 2.31616841206317 48.8389369099596 1 1 0 0 0
"10114" " HOPITAL SAINT LOUIS" 2.36666943698496 48.8747949948413 0 0 0 0 0
"11013" " NATION VOLAIRE" 2.39493447775012 48.8492766381855 0 0 0 0 0
"19036" " HOPITAL ROBERT DEBRE" 2.40095050201489 48.8799304155284 1 0 0 0 0
"4013" " FRANCS BOURGEOIS" 2.35863357911747 48.8585107129922 0 0 0 0 0
"12042" " MONTEMPOIVRE" 2.40922942058058 48.8403981721562 0 0 0 0 0
"43004" " MONTREUIL (VINCENNES)" 2.43451378622076 48.8504183667604 0 0 0 0 0
"4003" " PONT SAINT LOUIS" 2.35208864944075 48.8529448879212 0 0 0 0 1
"15060" " MONDRIAN" 2.2773458970965 48.8442928655765 0 0 0 0 0
"13016" " PRIMO LEVI" 2.37965351592796 48.8309484484602 0 0 0 0 0
"5017" " DESCARTES" 2.34901473289268 48.8466018657812 0 0 0 0 1
"19014" " LORRAINE" 2.38246120055766 48.8863350826153 0 0 0 0 0
"11014" " NATION TRONE" 2.39721188193514 48.8484828166097 0 0 0 0 0
"14101" " PLACE FERNAND MOURLOT" 2.32327771564332 48.8415048015128 0 1 0 0 0
"13024" " BOBILLOT TOLBIAC" 2.35020508497457 48.825525861884 0 0 0 0 0
"9037" " CLICHY PARME" 2.32819709345057 48.8812664242266 0 0 0 0 0
"20002" " PIXERECOURT" 2.39601222330053 48.8738036229888 1 0 0 0 0
"21014" " HAMEAU FLEURI (BOULOGNE-BILLANCOURT)" 2.24120465343616 48.8314286500504 0 0 0 0 0
"23010" " VOLTAIRE (LEVALLOIS)" 2.28420499011361 48.8919623289648 0 0 0 0 0
"2001" " SEBASTOPOL-GRENATA" 2.35166987368994 48.865240621695 0 0 0 0 0
"5004" " SAINT JACQUES VAL DE GRACE" 2.34120202666239 48.8418659565261 0 0 0 0 1
"8028" " HOUSSAYE" 2.29770677798004 48.8734340813977 0 0 0 0 1
"20041" " BELLEVILLE" 2.37799433828966 48.8711994313901 0 0 0 0 0
"3014" " GRENIER SAINT LAZARE" 2.35283938071815 48.8630628327432 0 0 0 0 0
"8053" " FRIEDLAND" 2.30177143532599 48.8747502039566 0 0 0 0 1
"8056" " WAGRAM" 2.29655534247627 48.875377647487 0 0 0 0 1
"8103" " D'ARTOIS BERRY" 2.30629955027108 48.8737943183796 0 0 0 0 1
"22010" " DE GAULLE 4 (NEUILLY)" 2.27117749892451 48.8816744459654 0 0 0 0 0
"33005" " REPUBLIQUE 2 (AUBERVILLIERS)" 2.3895475019254 48.9063833980958 0 0 0 0 0
"13051" " QUAI FRANCOIS MAURIAC TOLBIAC" 2.37910490091443 48.8326410103703 0 0 0 0 0
"901" " PORT SOLFÉRINO (STATION MOBILE)" 2.32442 48.86138 0 0 0 0 0
"23007" " WILSON (LEVALLOIS)" 2.29216048216642 48.8903802654139 0 0 0 0 0
"12123" " CHATEAU DE VINCENNES" 2.43920953770918 48.8442319325566 0 0 0 0 0
"21001" " TRANSVAL (BOULOGNE-BILLANCOURT)" 2.23757011020717 48.848299809537 0 0 0 0 0
"17037" " BAYERN PEREIRE" 2.29214066582886 48.881830717501 0 0 0 0 0
"1006" " GRANDE TRUANDERIE" 2.34973214483098 48.8626318041594 0 0 0 0 1
"20113" " PARC DE BELLEVILLE" 2.38498139027809 48.8719562663553 1 0 0 0 0
"16013" " AVENUE HENRI MARTIN" 2.27688168700671 48.8640767117056 0 0 0 0 0
"23004" " COUTURIER 2 (LEVALLOIS)" 2.29384801797407 48.8981970226357 0 0 0 0 0
"20017" " RUE SAINT BLAISE" 2.40884245740696 48.8569749400317 0 0 0 0 0
"13002" " ARAGO" 2.34457514124358 48.8348671795975 0 0 0 0 0
"42205" " PARIS 1 (CHARENTON)" 2.4126027864677 48.8221431258046 0 0 0 0 0
"22007" " CHARCOT (NEUILLY)" 2.25569933162912 48.8753602839083 0 0 0 0 0
"11016" " PHILIPPE AUGUSTE" 2.39325537630921 48.8518182000139 0 0 0 0 0
"18105" " BELIARD POISSONNIERS" 2.35252665935551 48.897406787872 0 0 0 0 0
"18020" " RUISSEAU" 2.34001458544203 48.8910412326166 1 0 0 0 1
"8549" " PLACE DUNANT" 2.30112319174409 48.8704091350747 0 0 0 0 1
"15048" " OLIVIER DE SERRE" 2.29204639669968 48.8305456694458 0 0 0 0 0
"8010" " LIEGE" 2.32642735247481 48.8795811656381 0 1 0 0 0
"13041" " PORTE D'IVRY" 2.36852869997212 48.8219624410174 0 0 1 0 0
"13123" " BIBLIOTHÈQUE FRANÇOIS MITTERAND" 2.37606810031042 48.8350507158045 0 1 0 0 0
"15063" " SAINT CHARLES - CONVENTION" 2.28320900001847 48.8432953588952 0 0 0 0 0
"43003" " PARIS 2 (VINCENNES)" 2.42740630276139 48.845719900926 0 0 0 0 0
"15023" " LA MOTTE PIQUET" 2.29924407694599 48.8486563159052 0 0 0 0 1
"21202" " BARBES (MONTROUGE)" 2.32750599924383 48.8172449116699 0 0 0 0 0
"22003" " BEFFROY (NEUILLY)" 2.26126351803174 48.8867049831048 0 0 0 0 0
"13013" " SAINT MARCEL" 2.36098941702293 48.839504424583 0 1 0 0 0
"15107" "  PALAIS DES SPORTS" 2.28548042091786 48.8335736182304 0 0 1 0 0
"11112" " CHARONNES VALLES" 2.38488615344003 48.8543041778117 0 0 0 0 0
"19113" " PRE ST GERVAIS" 2.39598555362417 48.8779234119252 1 0 0 0 0
"13055" " LAGROUA" 2.38022060626611 48.8285952838574 0 0 0 0 0
"1005" " LES HALLES - SEBASTOPOL" 2.34939999975017 48.8612620697647 0 0 0 0 1
"16014" " AVENUE D EYLAU" 2.28639449692504 48.8635464034458 0 0 0 0 1
"8110" " STOCKOLM ROME" 2.32232932086804 48.8771119187665 0 1 0 0 0
"12040" " PORTE DE CHARENTON" 2.39874566494855 48.8315881251744 0 0 1 0 0
"15029" " EMERIAU" 2.2872501634709 48.8506147509061 0 0 0 0 1
"11022" " LEON BLUM ROQUETTE" 2.38179770265078 48.8580019060234 0 0 0 0 0
"22405" " NORD (MALAKOFF)" 2.30047686504791 48.8193391584096 0 0 0 0 0
"8040" " CHAMPS ELYSEES CHARRON" 2.30431544671583 48.8700703391143 0 0 0 0 1
"42704" " ROSSEL (LE KREMLIN BICETRE)" 2.35697189328747 48.812012814287 1 0 0 0 0
"16041" " VERSAILLES" 2.26383419115296 48.8402193380741 0 0 0 0 0
"1009" " PONT NEUF - 14" 2.34433354527384 48.8602451945326 0 0 0 0 1
"6032" " RENNES SABOT" 2.33164772290665 48.8525574216674 0 0 0 0 0
"7010" " INVALIDES" 2.31483827949527 48.8607699579973 0 0 0 0 1
"6009" " GUYNEMER LUXEMBOURG" 2.33239459292958 48.8467209825734 0 0 0 0 0
"12114" " PORTE DE SAINT MANDE" 2.41508139483442 48.8439490640318 0 0 1 0 0
"16004" " BOULEVARD LANNES" 2.27487529834497 48.8707532840488 0 0 0 0 0
"6026" " SAINT PLACIDE CHERCHE MIDI" 2.32517538941275 48.8491399032183 0 0 0 0 0
"34006" " MICHELET (SAINT OUEN)" 2.34396901704276 48.906304806068 0 0 0 0 0
"1018" " RIVOLI TUILERIE" 2.32943142194585 48.8647936661262 0 0 0 0 1
"10022" " CHABROL SAINT QUENTIN" 2.35611908299182 48.8768669057798 0 1 0 0 0
"32003" " METALLURGIE (SAINT DENIS)" 2.35805056573641 48.9093300218896 0 0 0 0 0
"42001" " JULES (IVRY)" 2.39498124008662 48.8203221836761 0 0 0 0 0
"5016" " CONTRESCARPE-THOUIN" 2.34949778985778 48.845062256378 0 0 0 0 1
"14007" " SAINT JACQUES FERRUS" 2.34081188215241 48.8313666800046 0 0 0 0 0
"19046" " PORTE DE PANTIN" 2.39528946179638 48.8890400680668 0 0 1 0 0
"2013" " RICHELIEU DROUOT" 2.33829010585079 48.871446353921 0 0 0 0 1
"19040" " TELEGRAPHE" 2.39946145198278 48.8756361807115 1 0 0 0 0
"15005" " PLACE TREFOUEL" 2.31272739021446 48.8426508046409 0 0 0 0 0
"10009" " HITTORFF" 2.35766368561921 48.8720836088694 0 1 0 0 0
"34003" " CURIE (SAINT OUEN)" 2.33530123747169 48.9013270326018 0 0 0 0 1
"15017" " PROCESSION" 2.31046623803085 48.8363338618169 0 0 0 0 0
"16030" " MIRABEAU" 2.27355626496537 48.8476657100294 0 0 0 0 0
"11033" " BREGUET SABIN" 2.37055463986152 48.8568704677583 0 0 0 0 0
"12034" " PIROGUES DE BERCY" 2.38637027856876 48.8323083893665 0 0 0 0 0
"1023" " ANDRE MALRAUX MUSEE DU LOUVRE" 2.33484632755027 48.8634970199637 0 0 0 0 1
"34008" " GARIBALDI (SAINT OUEN)" 2.33149745979217 48.9057350760539 0 0 0 0 0
"15102" " SQUARE BELA BARTOK" 2.28460760756774 48.8511672406797 0 0 0 0 0
"1012" " BOURSE DU COMMERCE" 2.34155507782723 48.8629981667678 0 0 0 0 1
"21108" " VILLENEUVE 2 (CLICHY)" 2.30622856572988 48.9036210121559 0 0 0 0 0
"34005" " LESENNE (SAINT OUEN)" 2.34827493630495 48.9025532782227 0 0 0 0 0
"4009" " VILLAGE SAINT PAUL" 2.36087834343166 48.8527259721895 0 0 0 0 0
"13052" " TOLBIAC LERREDE" 2.37433200085619 48.8289747443296 0 0 0 0 0
"21102" " NATIONS UNIES (CLICHY)" 2.30990049821369 48.8971098501329 0 0 1 0 0
"14026" " PLANTES MOULIN VERT" 2.32331344598022 48.8301471957921 0 0 0 0 0
"11107" " BIBLIOTHEQUE FAIDHERBE" 2.38372328828755 48.8515320053401 0 0 0 0 0
"15034" " COMMERCE" 2.29404143328216 48.8444259195454 0 0 0 0 0
"6022" " MARCHE SAINT GERMAIN - MABILLON" 2.33550466500983 48.8516596929124 0 0 0 0 0
"6015" " MAZET SAINT ANDRE DES ARTS" 2.33911372289969 48.8537510734679 0 0 0 0 0
"13025" " PLACE DE RUNGIS" 2.34738272948295 48.8224559476497 0 0 0 0 0
"10110" " LOUIS BLANC" 2.36862871574876 48.879332174655 0 0 0 0 0
"20503" " COURS DE VINCENNES PYRÉNÉES" 2.40590731701789 48.8477249689847 0 0 0 0 0
"13101" " CROULEBARBE RECULETTES" 2.34810865477735 48.8311217750692 0 0 0 0 0
"8041" " CHAMPS ELYSEES LINCOLN" 2.30322242397478 48.8706901579086 0 0 0 0 1
"5005" " SAINT JACQUES GAY LUSSAC" 2.34192394486641 48.8447302561321 1 0 0 0 1
"18015" " CUSTINE" 2.34701133583386 48.8886197164506 1 0 0 0 1
"22005" " DE GAULLE 3 (NEUILLY)" 2.26099177209953 48.8842989293728 0 0 0 0 0
"13040" " PORTE DE CHOISY" 2.36507858638901 48.8199419656772 0 0 1 0 0
"21011" " SILLY (BOULOGNE BILLANCOURT)" 2.2340164013498 48.832274660165 0 0 0 0 0
"9005" " SQUARE D'ANVERS" 2.34488440621221 48.8826334843108 1 0 0 0 1
"12015" " NATION PICPUS" 2.39986827742879 48.8469643595031 0 1 0 0 0
"15040" " MONCLAR" 2.30885001546654 48.8341171478377 0 0 0 0 0
